N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"81,500","
0
","
0.00%
",100,"4,865,373","5,969,783",53.35,"535,416",19.57,9.99,
2,SK하이닉스,"118,000","
0
","
0.00%
","5,000","859,043","728,002",48.40,0,16.85,9.53,
3,NAVER,"444,500","
0
","
0.00%
",100,"730,151","164,263",56.65,642,4.53,15.22,
4,카카오,"145,500","
0
","
0.00%
",100,"646,690","444,460",31.73,0,211.79,2.70,
5,삼성전자우,"74,900","
0
","
0.00%
",100,"616,342","822,887",75.89,0,17.98,N/A,
6,삼성바이오로직스,"919,000","
0
","
0.00%
","2,500","608,056","66,165",10.38,12,229.18,N/A,
7,LG화학,"842,000","
0
","
0.00%
","5,000","594,388","70,592",47.28,839,36.65,2.93,
8,삼성SDI,"776,000","
0
","
0.00%
","5,000","533,613","68,765",43.91,515,76.01,4.54,
9,현대차,"222,500","
0
","
0.00%
","5,000","475,412","213,668",28.66,0,26.93,2.04,
10,셀트리온,"271,500","
0
","
0.00%
","1,000","374,443","137,917",20.49,0,62.28,16.68,
11,기아,"85,100","

				500
				
","

				-0.58%
				
","5,000","344,964","405,363",33.33,"23,939",15.29,5.05,
12,카카오뱅크,"69,800","
0
","
0.00%
","5,000","331,620","475,100",4.67,"1,361,124",225.89,5.08,
13,POSCO,"339,500","

				1,500
				
","

				-0.44%
				
","5,000","295,999","87,187",54.08,"7,304",13.26,3.61,
14,삼성물산,"144,000","

				500
				
","

				-0.35%
				
",100,"269,117","186,887",15.06,"15,755",17.15,3.81,
15,현대모비스,"276,500","
0
","
0.00%
","5,000","262,103","94,793",35.62,226,14.76,4.66,
16,LG전자,"157,000","
0
","
0.00%
","5,000","256,927","163,648",31.78,0,14.63,13.23,
17,LG생활건강,"1,458,000","
0
","
0.00%
","5,000","227,713","15,618",45.30,1,31.43,17.92,
18,SK이노베이션,"240,500","
0
","
0.00%
","5,000","222,380","92,466",22.80,561,-22.74,-13.58,
19,SK텔레콤,"305,500","
0
","
0.00%
",500,"220,144","72,060",46.55,"3,039",14.07,6.44,
20,KB금융,"52,200","
0
","
0.00%
","5,000","217,052","415,808",67.21,69,5.43,8.53,
21,신한지주,"38,750","
0
","
0.00%
","5,000","200,182","516,600",59.99,"1,428",5.44,8.20,
22,SK,"278,500","
0
","
0.00%
",200,"195,953","70,360",20.19,0,32.43,1.11,
23,SK바이오사이언스,"244,500","
0
","
0.00%
",500,"187,042","76,500",4.56,"12,681",189.98,13.25,
24,엔씨소프트,"823,000","
0
","
0.00%
",500,"180,682","21,954",51.58,1,38.21,20.83,
25,한국전력,"25,550","

				100
				
","

				+0.39%
				
","5,000","164,022","641,964",15.27,"38,387",7.98,2.91,
26,HMM,"39,950","
0
","
0.00%
","5,000","161,954","405,392",9.32,0,37.87,8.93,
